snr,test_acc
-10,0.23794853207683944
-8,0.3997801392451447
-6,0.5315315315315315
-4,0.642831541218638
-2,0.7589171391988293
0,0.8525127458120904
2,0.8871057000553404
4,0.900404263138552
6,0.9010313008865569
8,0.9121658483360611
10,0.9085578156496243
12,0.9076473809089249
14,0.9065370070232307
16,0.9045189504373178
18,0.9064463997126952
